210620,키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,전체조회수,전체클릭수,상품수,상위링크,비율(조회),비율(클릭)
기존지정,네온사인DIY,370,1390,2.4,1.7,0.7,0.13,15,높음,1760,4,4290, https://search.shopping.naver.com/gate.nhn?id=82625705876 https://search.shopping.naver.com/gate.nhn?id=82990441053 https://search.shopping.naver.com/gate.nhn?id=82353164580,2,841
기존지정,화장실픽토그램,330,290,0.9,0.0,0.31,0.0,14,높음,620,0,3485, https://search.shopping.naver.com/gate.nhn?id=11622721185 https://search.shopping.naver.com/gate.nhn?id=82578182175 https://search.shopping.naver.com/gate.nhn?id=13395344945,5,1834
기존지정,오픈네온사인,100,580,0.0,12.3,0.0,2.2,15,높음,680,12,3704, https://search.shopping.naver.com/gate.nhn?id=82228929148 https://search.shopping.naver.com/gate.nhn?id=82298777577 https://search.shopping.naver.com/gate.nhn?id=82264446866,5,278
기존지정,배달간판,5,10,0.0,1.1,0.0,7.5,3,높음,15,1,3388, https://search.shopping.naver.com/gate.nhn?id=26690026600 https://search.shopping.naver.com/gate.nhn?id=26688357858 https://search.shopping.naver.com/gate.nhn?id=26873925741,211,1613
기존지정,네온사인주문제작,1700,8280,74.7,573.8,4.57,7.41,15,높음,9980,648,1881, https://search.shopping.naver.com/gate.nhn?id=82674411378 https://search.shopping.naver.com/gate.nhn?id=82990441053 https://search.shopping.naver.com/gate.nhn?id=83070897012,0,2
기존지정,LED간판만들기,70,260,1.2,13.0,1.77,4.99,15,높음,330,14,1538, https://search.shopping.naver.com/gate.nhn?id=82990441053 https://search.shopping.naver.com/gate.nhn?id=82212030164 https://search.shopping.naver.com/gate.nhn?id=82990640462,4,101
기존지정,후광LED,5,5,0.0,0.0,0.0,0.0,0,낮음,10,0,1136, https://search.shopping.naver.com/gate.nhn?id=82471939984 https://search.shopping.naver.com/gate.nhn?id=13401384143 https://search.shopping.naver.com/gate.nhn?id=25778964923,103,1136
기존지정,나래바네온사인,110,810,2.0,49.3,1.98,6.59,14,높음,920,51,962, https://search.shopping.naver.com/gate.nhn?id=82353164580 https://search.shopping.naver.com/gate.nhn?id=82844570727 https://search.shopping.naver.com/gate.nhn?id=82420783580,1,18
기존지정,아크릴견적,30,10,2.0,1.3,5.76,7.36,15,높음,40,3,472, https://search.shopping.naver.com/gate.nhn?id=9564101752 https://search.shopping.naver.com/gate.nhn?id=13222007986 https://search.shopping.naver.com/gate.nhn?id=21995910185,11,109
기존지정1,아크릴간판,2800,5760,69.9,137.0,2.64,2.54,15,높음,8560,206,83741, https://search.shopping.naver.com/gate.nhn?id=82064396067 https://search.shopping.naver.com/gate.nhn?id=25855830012 https://search.shopping.naver.com/gate.nhn?id=26843683729,9,402
기존지정2,캠핑문패,780,4240,1.2,53.7,0.17,1.34,15,높음,5020,54,1618, https://search.shopping.naver.com/gate.nhn?id=82921065382 https://search.shopping.naver.com/gate.nhn?id=82583098816 https://search.shopping.naver.com/gate.nhn?id=82683878317,0,28
기존지정3,LED간판,2750,7980,44.5,307.8,1.71,4.14,15,높음,10730,352,46151, https://search.shopping.naver.com/gate.nhn?id=82291799095 https://search.shopping.naver.com/gate.nhn?id=10549184756 https://search.shopping.naver.com/gate.nhn?id=82583098816,4,130
기존지정4,돌출간판,1780,3770,17.2,77.5,1.03,2.2,15,높음,5550,94,19499, https://search.shopping.naver.com/gate.nhn?id=10549184756 https://search.shopping.naver.com/gate.nhn?id=82564970551 https://search.shopping.naver.com/gate.nhn?id=82229447729,3,203
기존지정5,현판,5170,5110,91.0,86.8,1.85,1.8,15,높음,10280,177,65437, https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=82137137001 https://search.shopping.naver.com/gate.nhn?id=26843683729,6,365
기존지정6,미니간판,890,3220,17.5,120.5,2.07,4.04,15,높음,4110,138,30012, https://search.shopping.naver.com/gate.nhn?id=82137137001 https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=82064396067,7,215
기존지정7,나무간판,1450,3130,34.7,76.0,2.5,2.57,15,높음,4580,110,21513, https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=82921065382 https://search.shopping.naver.com/gate.nhn?id=80030424293,4,192
기존지정8,화장실표지판,1230,2000,17.1,69.0,1.47,3.7,15,높음,3230,86,256982, https://search.shopping.naver.com/gate.nhn?id=82121345920 https://search.shopping.naver.com/gate.nhn?id=26013803840 https://search.shopping.naver.com/gate.nhn?id=11622721185,79,2950
기존지정9,문패,2030,4170,17.8,73.0,0.91,1.86,15,높음,6200,90,2918292, https://search.shopping.naver.com/gate.nhn?id=82137137001 https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=82064396067,470,31789
기존지정10,간판,12500,30100,239.9,1007.0,2.02,3.56,15,높음,42600,1246,732070, https://search.shopping.naver.com/gate.nhn?id=82137137001 https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=82064396067,17,586
기존지정11,도어사인,660,1930,11.4,67.2,1.79,3.7,15,높음,2590,78,107016, https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=8527754670 https://search.shopping.naver.com/gate.nhn?id=11816391942,41,1344
기존지정12,호실판,370,1080,7.1,50.3,1.99,4.99,15,높음,1450,57,44602, https://search.shopping.naver.com/gate.nhn?id=10767860091 https://search.shopping.naver.com/gate.nhn?id=10558290734 https://search.shopping.naver.com/gate.nhn?id=81070852262,30,763
기존지정13,아파트호수판,200,1300,3.9,48.2,2.09,3.94,15,높음,1500,52,7741, https://search.shopping.naver.com/gate.nhn?id=10767860091 https://search.shopping.naver.com/gate.nhn?id=10558290734 https://search.shopping.naver.com/gate.nhn?id=81969078983,5,145
기존지정14,간판제작,1670,2630,48.5,105.4,3.07,4.25,15,높음,4300,153,32482, https://search.shopping.naver.com/gate.nhn?id=26675612101 https://search.shopping.naver.com/gate.nhn?id=82137137001 https://search.shopping.naver.com/gate.nhn?id=82193642872,7,209
기존15,캠핑입간판,180,1340,0.0,0.0,0.0,0.0,3,높음,1520,0,539, https://search.shopping.naver.com/gate.nhn?id=82921065382 https://search.shopping.naver.com/gate.nhn?id=82583098816 https://search.shopping.naver.com/gate.nhn?id=83078625490,0,539
기존지정16,현관문패,370,2010,5.9,93.7,1.64,4.98,15,높음,2380,99,23118, https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=11816391942 https://search.shopping.naver.com/gate.nhn?id=80030424293,9,229
기존지정17,캠핑간판,190,1190,0.9,11.0,0.5,0.98,15,높음,1380,11,1836, https://search.shopping.naver.com/gate.nhn?id=82921065382 https://search.shopping.naver.com/gate.nhn?id=82583098816 https://search.shopping.naver.com/gate.nhn?id=80195205514,1,142
기존지정18,고무스카시,1180,1590,23.0,43.0,2.05,2.84,15,높음,2770,66,581, https://search.shopping.naver.com/gate.nhn?id=13371496354 https://search.shopping.naver.com/gate.nhn?id=9735003723 https://search.shopping.naver.com/gate.nhn?id=81503390109,0,8
기존지정19,아크릴스카시,1310,1210,28.3,41.3,2.29,3.6,15,높음,2520,69,8880, https://search.shopping.naver.com/gate.nhn?id=8527754670 https://search.shopping.naver.com/gate.nhn?id=11816391942 https://search.shopping.naver.com/gate.nhn?id=9918030436,3,125
기존지정20,스카시간판,980,1960,16.1,61.8,1.73,3.34,15,높음,2940,77,4617, https://search.shopping.naver.com/gate.nhn?id=11816391942 https://search.shopping.naver.com/gate.nhn?id=8527754670 https://search.shopping.naver.com/gate.nhn?id=13371496354,1,58
기존21,관계자외출입금지,3340,2750,8.3,30.0,0.27,1.16,15,높음,6090,38,38330, https://search.shopping.naver.com/gate.nhn?id=82121345920 https://search.shopping.naver.com/gate.nhn?id=26777000994 https://search.shopping.naver.com/gate.nhn?id=13603817056,6,975
기존지정22,실내간판,700,1500,22.4,56.0,3.3,3.97,15,높음,2200,78,117080, https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=82064396067 https://search.shopping.naver.com/gate.nhn?id=9918030436,53,1474
기존지정23,영업중간판,250,1270,4.3,38.3,1.86,3.19,15,높음,1520,42,7171, https://search.shopping.naver.com/gate.nhn?id=82291799095 https://search.shopping.naver.com/gate.nhn?id=82490240554 https://search.shopping.naver.com/gate.nhn?id=26060190829,4,164
기존24,미세요당기세요,350,810,3.3,36.0,1.0,4.74,15,높음,1160,39,4683, https://search.shopping.naver.com/gate.nhn?id=82107044164 https://search.shopping.naver.com/gate.nhn?id=82686486208 https://search.shopping.naver.com/gate.nhn?id=82279666967,4,116
기존지정25,대문문패,300,1620,13.7,98.9,4.89,6.46,15,높음,1920,112,8350, https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=80030424293 https://search.shopping.naver.com/gate.nhn?id=10767860091,4,73
기존지정26,아크릴현판,1140,970,37.9,35.3,3.48,3.83,15,높음,2110,73,16931, https://search.shopping.naver.com/gate.nhn?id=26843683729 https://search.shopping.naver.com/gate.nhn?id=82064396067 https://search.shopping.naver.com/gate.nhn?id=26675612101,8,228
기존27,나무이름표,410,840,10.7,30.0,2.83,3.85,15,높음,1250,40,10496, https://search.shopping.naver.com/gate.nhn?id=82340893072 https://search.shopping.naver.com/gate.nhn?id=82581860085 https://search.shopping.naver.com/gate.nhn?id=21761978082,8,251
기존지정28,현관문호수,130,960,2.7,55.3,2.16,5.9,15,높음,1090,58,16962, https://search.shopping.naver.com/gate.nhn?id=10767860091 https://search.shopping.naver.com/gate.nhn?id=81070852262 https://search.shopping.naver.com/gate.nhn?id=25232922632,15,287
기존29,스카시,2350,2550,24.8,36.0,1.1,1.51,15,높음,4900,60,93724, https://search.shopping.naver.com/gate.nhn?id=8527754670 https://search.shopping.naver.com/gate.nhn?id=11816391942 https://search.shopping.naver.com/gate.nhn?id=9918030436,19,1516
기존지정30,텃밭팻말,490,1120,4.3,20.7,0.94,2.11,13,중간,1610,25,3693, https://search.shopping.naver.com/gate.nhn?id=82196876921 https://search.shopping.naver.com/gate.nhn?id=80044151609 https://search.shopping.naver.com/gate.nhn?id=26746822004,2,142
기존지정31,표지판,3720,5230,22.5,29.7,0.65,0.6,15,높음,8950,52,2368556, https://search.shopping.naver.com/gate.nhn?id=82137137001 https://search.shopping.naver.com/gate.nhn?id=26841677432 https://search.shopping.naver.com/gate.nhn?id=82064396067,264,44521
기존32,잠시외출중,470,1110,4.3,62.0,0.96,6.08,15,높음,1580,66,4431, https://search.shopping.naver.com/gate.nhn?id=27063891234 https://search.shopping.naver.com/gate.nhn?id=82391199442 https://search.shopping.naver.com/gate.nhn?id=82755382160,2,65
기존지정33,안내판,2250,1750,24.4,56.7,1.14,3.39,15,높음,4000,81,1688583, https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=82064396067 https://search.shopping.naver.com/gate.nhn?id=11816391942,422,20567
기존지정34,아이방문패,110,1000,0.6,25.7,0.5,2.74,14,높음,1110,26,1487, https://search.shopping.naver.com/gate.nhn?id=82581860085 https://search.shopping.naver.com/gate.nhn?id=81998261321 https://search.shopping.naver.com/gate.nhn?id=11591201713,1,54
기존지정35,카페간판,840,2420,14.7,77.3,1.83,3.38,15,높음,3260,92,51621, https://search.shopping.naver.com/gate.nhn?id=82137137001 https://search.shopping.naver.com/gate.nhn?id=82064396067 https://search.shopping.naver.com/gate.nhn?id=26675612101,15,555
기존지정36,팻말,3250,5060,5.7,33.0,0.19,0.7,15,높음,8310,38,665153, https://search.shopping.naver.com/gate.nhn?id=26675612101 https://search.shopping.naver.com/gate.nhn?id=82921065382 https://search.shopping.naver.com/gate.nhn?id=82340893072,80,16754
기존37,아트시스,1480,1930,5.3,18.7,0.38,1.05,7,중간,3410,24,924, https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=82137137001 https://search.shopping.naver.com/gate.nhn?id=82064396067,0,36
기존38,현판제작,1510,1250,61.0,65.7,4.19,5.58,15,높음,2760,126,10862, https://search.shopping.naver.com/gate.nhn?id=82064396067 https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=82137137001,3,85
기존지정39,도로명주소판,690,1320,6.4,46.7,0.98,3.76,15,높음,2010,53,2367, https://search.shopping.naver.com/gate.nhn?id=80974941447 https://search.shopping.naver.com/gate.nhn?id=24015372807 https://search.shopping.naver.com/gate.nhn?id=82640380793,1,43
기존40,나무메뉴판,220,880,2.3,21.7,1.15,2.56,15,높음,1100,24,2392, https://search.shopping.naver.com/gate.nhn?id=80832097902 https://search.shopping.naver.com/gate.nhn?id=21420027014 https://search.shopping.naver.com/gate.nhn?id=82394111208,2,95
기존41,호수판,170,440,1.9,17.0,1.17,4.03,15,높음,610,18,23288, https://search.shopping.naver.com/gate.nhn?id=10767860091 https://search.shopping.naver.com/gate.nhn?id=10558290734 https://search.shopping.naver.com/gate.nhn?id=81969078983,38,1170
기존42,방문패,210,760,0.6,14.0,0.31,1.99,15,높음,970,14,27063, https://search.shopping.naver.com/gate.nhn?id=82340893072 https://search.shopping.naver.com/gate.nhn?id=10767860091 https://search.shopping.naver.com/gate.nhn?id=82581860085,27,1734
기존43,큐브간판,410,810,7.2,32.7,1.88,4.32,15,높음,1220,39,2177, https://search.shopping.naver.com/gate.nhn?id=8267134269 https://search.shopping.naver.com/gate.nhn?id=11640837518 https://search.shopping.naver.com/gate.nhn?id=11660546887,1,53
기존44,화장실표시판,340,730,4.7,32.3,1.51,4.7,15,높음,1070,37,256982, https://search.shopping.naver.com/gate.nhn?id=26013803840 https://search.shopping.naver.com/gate.nhn?id=82121345920 https://search.shopping.naver.com/gate.nhn?id=24187559407,239,6762
기존지정45,채널간판,1140,1610,11.5,34.5,1.05,2.27,15,높음,2750,46,2500, https://search.shopping.naver.com/gate.nhn?id=82530668776 https://search.shopping.naver.com/gate.nhn?id=13508669111 https://search.shopping.naver.com/gate.nhn?id=82278451741,0,53
기존46,우드간판,200,660,3.6,6.3,1.88,1.03,15,높음,860,9,10573, https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=80030424293 https://search.shopping.naver.com/gate.nhn?id=82683878317,12,970
기존지정47,간판만들기,720,2790,24.7,125.2,3.65,4.8,15,높음,3510,149,22543, https://search.shopping.naver.com/gate.nhn?id=8527754670 https://search.shopping.naver.com/gate.nhn?id=13371496354 https://search.shopping.naver.com/gate.nhn?id=9735003723,6,149
기존지정48,오픈팻말,130,580,1.9,20.7,1.57,3.65,15,높음,710,22,47720, https://search.shopping.naver.com/gate.nhn?id=82340893072 https://search.shopping.naver.com/gate.nhn?id=27063891234 https://search.shopping.naver.com/gate.nhn?id=80963185510,67,2022
기존지정49,나무팻말,410,860,6.7,22.0,1.76,2.72,15,높음,1270,28,9973, https://search.shopping.naver.com/gate.nhn?id=82921065382 https://search.shopping.naver.com/gate.nhn?id=82340893072 https://search.shopping.naver.com/gate.nhn?id=82196876921,7,335
기존50,나무현판,520,650,14.6,26.8,2.92,4.29,15,높음,1170,41,6806, https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=82340893072 https://search.shopping.naver.com/gate.nhn?id=80030424293,5,160
기존지정51,디자인문패,80,150,1.0,7.7,1.36,5.02,15,높음,230,8,2888196, https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=82137137001 https://search.shopping.naver.com/gate.nhn?id=82064396067,12503,297752
기존지정52,화장실표시,700,980,3.6,29.0,0.54,3.08,15,높음,1680,32,44350, https://search.shopping.naver.com/gate.nhn?id=26013803840 https://search.shopping.naver.com/gate.nhn?id=82121345920 https://search.shopping.naver.com/gate.nhn?id=80277786929,26,1319
기존지정53,포인트간판,460,680,7.3,19.3,1.65,2.97,15,높음,1140,26,4274, https://search.shopping.naver.com/gate.nhn?id=82564970551 https://search.shopping.naver.com/gate.nhn?id=82229447729 https://search.shopping.naver.com/gate.nhn?id=8267134269,3,154
기존지정54,철제간판,320,780,6.4,26.3,2.11,3.57,15,높음,1100,32,24602, https://search.shopping.naver.com/gate.nhn?id=81883430646 https://search.shopping.naver.com/gate.nhn?id=82229447729 https://search.shopping.naver.com/gate.nhn?id=18310890208,22,730
기존55,나무문패,290,820,6.0,26.0,2.12,3.33,15,높음,1110,32,38151, https://search.shopping.naver.com/gate.nhn?id=82193642872 https://search.shopping.naver.com/gate.nhn?id=82921065382 https://search.shopping.naver.com/gate.nhn?id=82340893072,34,1156
기존56,출입금지표지판,890,1140,12.5,51.7,1.44,4.8,15,높음,2030,64,73417, https://search.shopping.naver.com/gate.nhn?id=82121345920 https://search.shopping.naver.com/gate.nhn?id=82525322684 https://search.shopping.naver.com/gate.nhn?id=26777000994,36,1126
기존지정57,영업중,220,700,0.6,6.0,0.3,0.91,15,높음,920,6,31714, https://search.shopping.naver.com/gate.nhn?id=82291799095 https://search.shopping.naver.com/gate.nhn?id=82121345920 https://search.shopping.naver.com/gate.nhn?id=27063891234,34,4172
기존58,CCTV녹화중,600,580,1.2,12.0,0.22,2.19,15,높음,1180,13,55086, https://search.shopping.naver.com/gate.nhn?id=82121345920 https://search.shopping.naver.com/gate.nhn?id=24187559407 https://search.shopping.naver.com/gate.nhn?id=26843939953,46,3879
기존지정59,아크릴글자,360,690,9.5,18.7,2.79,2.98,15,높음,1050,28,5618, https://search.shopping.naver.com/gate.nhn?id=8527754670 https://search.shopping.naver.com/gate.nhn?id=11816391942 https://search.shopping.naver.com/gate.nhn?id=9918030436,5,192
기존60,회사명판,2490,1650,32.3,45.8,1.37,2.94,15,높음,4140,78,12911, https://search.shopping.naver.com/gate.nhn?id=25855830012 https://search.shopping.naver.com/gate.nhn?id=82137137001 https://search.shopping.naver.com/gate.nhn?id=26675612101,3,163
기존61,오픈간판,90,500,0.7,7.7,0.92,1.6,15,높음,590,8,17944, https://search.shopping.naver.com/gate.nhn?id=82291799095 https://search.shopping.naver.com/gate.nhn?id=82581860085 https://search.shopping.naver.com/gate.nhn?id=82490240554,30,1908
기존62,포맥스간판,600,730,14.9,28.7,2.54,4.17,15,높음,1330,43,15739, https://search.shopping.naver.com/gate.nhn?id=25855830012 https://search.shopping.naver.com/gate.nhn?id=7169657186 https://search.shopping.naver.com/gate.nhn?id=10835003491,11,352
기존지정63,아크릴명판,1120,760,22.1,16.7,2.07,2.35,15,높음,1880,38,20864, https://search.shopping.naver.com/gate.nhn?id=25855830012 https://search.shopping.naver.com/gate.nhn?id=26675612101 https://search.shopping.naver.com/gate.nhn?id=10835003491,11,524
기존지정64,현관호수,60,550,1.7,34.0,2.8,6.42,13,중간,610,35,5475, https://search.shopping.naver.com/gate.nhn?id=81070852262 https://search.shopping.naver.com/gate.nhn?id=81161037292 https://search.shopping.naver.com/gate.nhn?id=81969078983,8,149
기존지정65,안내표지판,920,920,12.5,25.7,1.43,2.98,15,높음,1840,38,616610, https://search.shopping.naver.com/gate.nhn?id=27063891234 https://search.shopping.naver.com/gate.nhn?id=82121345920 https://search.shopping.naver.com/gate.nhn?id=82578182175,334,15729
기존지정66,원형간판,250,580,2.8,12.3,1.16,2.29,15,높음,830,15,7418, https://search.shopping.naver.com/gate.nhn?id=6550317291 https://search.shopping.naver.com/gate.nhn?id=80779015480 https://search.shopping.naver.com/gate.nhn?id=16263937486,8,460
기존지정67,셀프간판,130,600,4.4,25.3,3.44,4.44,15,높음,730,29,14815, https://search.shopping.naver.com/gate.nhn?id=8527754670 https://search.shopping.naver.com/gate.nhn?id=13371496354 https://search.shopping.naver.com/gate.nhn?id=9735003723,20,482
기존68,미시오당기시오,260,380,1.5,16.7,0.59,4.61,15,높음,640,18,9675, https://search.shopping.naver.com/gate.nhn?id=82107044164 https://search.shopping.naver.com/gate.nhn?id=7363536462 https://search.shopping.naver.com/gate.nhn?id=27027273856,15,503
기존69,소화기점검표,1800,610,10.1,14.3,0.59,2.43,15,높음,2410,24,1541, https://search.shopping.naver.com/gate.nhn?id=82067588251 https://search.shopping.naver.com/gate.nhn?id=25708814242 https://search.shopping.naver.com/gate.nhn?id=15959705271,0,60
기존70,당기세요,290,440,2.1,9.3,0.73,2.21,15,높음,730,11,45442, https://search.shopping.naver.com/gate.nhn?id=82107044164 https://search.shopping.naver.com/gate.nhn?id=82686486208 https://search.shopping.naver.com/gate.nhn?id=82279666967,62,3664
기존71,강아지문패,50,350,0.0,0.3,0.0,0.1,3,낮음,400,0,27396, https://search.shopping.naver.com/gate.nhn?id=82917798809 https://search.shopping.naver.com/gate.nhn?id=83056629912 https://search.shopping.naver.com/gate.nhn?id=82545404479,68,21073
기존72,수목표찰,700,280,25.9,15.7,3.92,5.77,15,높음,980,41,7104, https://search.shopping.naver.com/gate.nhn?id=21761978082 https://search.shopping.naver.com/gate.nhn?id=13753061160 https://search.shopping.naver.com/gate.nhn?id=13663723188,7,166
기존73,금연표지판,460,610,8.3,16.7,1.87,2.86,15,높음,1070,25,110253, https://search.shopping.naver.com/gate.nhn?id=82121345920 https://search.shopping.naver.com/gate.nhn?id=24187559407 https://search.shopping.naver.com/gate.nhn?id=7363536462,102,4240
기존지정74,사무실간판,540,470,15.4,15.4,2.96,3.38,15,높음,1010,30,53600, https://search.shopping.naver.com/gate.nhn?id=82137137001 https://search.shopping.naver.com/gate.nhn?id=82064396067 https://search.shopping.naver.com/gate.nhn?id=26843683729,53,1685
기존75,OPENCLOSE,300,540,0.8,1.7,0.28,0.33,15,높음,840,2,11912, https://search.shopping.naver.com/gate.nhn?id=80963185510 https://search.shopping.naver.com/gate.nhn?id=27396986963 https://search.shopping.naver.com/gate.nhn?id=82474181728,14,3403
기존76,회전간판,240,570,3.3,13.7,1.39,2.54,15,높음,810,17,3676, https://search.shopping.naver.com/gate.nhn?id=82037261270 https://search.shopping.naver.com/gate.nhn?id=82105893230 https://search.shopping.naver.com/gate.nhn?id=82245308265,4,204
기존지정77,아크릴표지판,380,400,10.1,18.0,2.8,4.82,15,높음,780,28,449804, https://search.shopping.naver.com/gate.nhn?id=82064396067 https://search.shopping.naver.com/gate.nhn?id=11816391942 https://search.shopping.naver.com/gate.nhn?id=25855830012,575,15457
기존78,화장실안내문,680,440,2.4,8.3,0.38,2.02,14,높음,1120,10,10073, https://search.shopping.naver.com/gate.nhn?id=26013803840 https://search.shopping.naver.com/gate.nhn?id=11622721185 https://search.shopping.naver.com/gate.nhn?id=24839945875,8,860
기존79,지주간판,900,840,13.9,29.6,1.62,3.67,15,높음,1740,43,1020, https://search.shopping.naver.com/gate.nhn?id=82823581403 https://search.shopping.naver.com/gate.nhn?id=82241901743 https://search.shopping.naver.com/gate.nhn?id=20657932023,0,22
기존80,지싸인,300,430,15.6,10.6,5.35,2.57,3,낮음,730,26,64, https://search.shopping.naver.com/gate.nhn?id=24101218861 https://search.shopping.naver.com/gate.nhn?id=23122355217 https://search.shopping.naver.com/gate.nhn?id=25086683326,0,2
기존81,브레이크타임,2110,9980,0.0,0.0,0.0,0.0,3,높음,12090,0,11091, https://search.shopping.naver.com/gate.nhn?id=82391199442 https://search.shopping.naver.com/gate.nhn?id=81833950159 https://search.shopping.naver.com/gate.nhn?id=83029176690,0,11091
기존82,글자간판,200,610,2.8,17.2,1.46,2.93,15,높음,810,20,5938, https://search.shopping.naver.com/gate.nhn?id=8527754670 https://search.shopping.naver.com/gate.nhn?id=11816391942 https://search.shopping.naver.com/gate.nhn?id=13371496354,7,282
기존83,캠핑팻말,70,450,0.0,0.0,0.0,0.0,2,중간,520,0,281, https://search.shopping.naver.com/gate.nhn?id=82921065382 https://search.shopping.naver.com/gate.nhn?id=82583098816 https://search.shopping.naver.com/gate.nhn?id=83078625490,0,281
기존84,외출중,270,420,1.8,15.7,0.73,3.96,15,높음,690,17,35597, https://search.shopping.naver.com/gate.nhn?id=27063891234 https://search.shopping.naver.com/gate.nhn?id=82391199442 https://search.shopping.naver.com/gate.nhn?id=22860648496,51,1924
