노출키워드,연관키워드,검색(PC),검색(폰),평균클릭(PC),평균클릭(폰),평클릭률(PC),평균클릭률(폰),노출광고수,경쟁도,총검색,총클릭
창문간판,미용실간판,350,2280,3.1,53.3,0.91,2.57,15,높음,2630.0,56.4
창문간판,보드판,1530,3720,7.9,44.0,0.59,1.32,15,높음,5250.0,51.9
창문간판,안전표지판,1440,1540,24.0,24.3,1.93,1.76,15,높음,2980.0,48.3
창문간판,가판대,5930,13800,4.6,43.3,0.09,0.34,15,높음,19730.0,47.9
창문간판,액자고리,520,1640,4.4,40.7,0.96,2.67,15,높음,2160.0,45.1
창문간판,미디어파사드,2340,2680,20.5,21.5,1.0,0.94,15,높음,5020.0,42.0
창문간판,표지판,2920,4880,14.4,27.3,0.56,0.65,15,높음,7800.0,41.7
사이드후광LED,사이드후광LED,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음,0.0,0.0
일반형,일반형,50,70,0.0,0.0,0.0,0.0,3,높음,120.0,0.0
DIY,캣타워,10400,73100,141.2,2376.0,1.49,3.56,15,높음,83500.0,2517.2
DIY,템바보드,10200,50100,205.4,1575.0,2.2,3.45,15,높음,60300.0,1780.4
DIY,악세사리부자재,2370,13800,173.6,1493.4,7.88,11.51,15,높음,16170.0,1667.0
DIY,접이식테이블,14800,97400,69.6,1320.0,0.53,1.47,15,높음,112200.0,1389.6
DIY,책꽂이,10900,58500,58.1,1273.3,0.6,2.39,15,높음,69400.0,1331.4
DIY,라탄바구니,5400,42000,39.5,977.9,0.8,2.53,15,높음,47400.0,1017.4
DIY,DIY미니어처하우스,2800,23900,28.5,942.3,1.16,4.17,15,높음,26700.0,970.8
DIY,방부목,5550,15100,174.8,718.8,3.45,5.2,15,높음,20650.0,893.5999999999997
DIY,천원단,2100,11800,96.8,774.4,5.05,7.02,15,높음,13900.0,871.1999999999997
DIY,합판,7720,24300,125.4,707.3,1.84,3.2,15,높음,32020.0,832.6999999999997
DIY,소품샵,4000,31700,77.7,683.5,2.15,2.3,15,높음,35700.0,761.2
DIY,벽선반,7100,38500,37.9,681.0,0.58,1.94,15,높음,45600.0,718.9
DIY,수제비누만들기,1330,13600,31.1,662.5,2.62,5.12,15,높음,14930.0,693.6
DIY,원룸꾸미기,3830,9550,78.7,602.0,2.33,6.93,15,높음,13380.0,680.7
DIY,집에서할수있는취미,3650,24300,30.3,649.0,0.86,2.71,15,높음,27950.0,679.3
DIY,레이스원단,1140,9240,45.3,625.8,4.25,7.05,15,높음,10380.0,671.0999999999998
DIY,라탄공예,2700,16900,33.8,608.3,1.44,3.94,15,높음,19600.0,642.0999999999998
DIY,퀼트,2930,12800,95.6,470.2,3.52,4.0,15,높음,15730.0,565.8
DIY,키링만들기,1400,9810,25.0,496.2,1.95,5.53,15,높음,11210.0,521.2
DIY,DIY키트,3190,13000,47.3,464.9,1.64,3.82,15,높음,16190.0,512.1999999999998
DIY,악세사리쇼핑몰,1290,6600,37.3,407.8,3.09,6.53,15,높음,7890.0,445.1
DIY,바질키우기,2680,21500,8.3,434.3,0.34,2.06,15,높음,24180.0,442.6
DIY,목재,5100,14800,111.9,310.3,2.42,2.3,15,높음,19900.0,422.20000000000016
DIY,모니터받침대,30700,39800,54.1,339.0,0.2,0.94,15,높음,70500.0,393.1
DIY,취미키트,1890,7070,49.9,336.3,2.84,5.06,15,높음,8960.0,386.2
DIY,네온사인,4390,15200,42.5,321.2,1.14,2.61,15,높음,19590.0,363.7
DIY,목재재단,2830,7440,74.0,249.1,2.98,3.74,15,높음,10270.0,323.1
DIY,미니어처,2490,10600,21.1,284.2,0.97,2.94,15,높음,13090.0,305.3
DIY,DIY,8510,32400,18.1,280.0,0.25,0.93,15,높음,40910.0,298.1
DIY,우드트레이,2240,13100,16.6,245.5,0.84,2.05,15,높음,15340.0,262.1
DIY,캔들만들기,1160,6760,16.9,243.8,1.66,3.97,15,높음,7920.0,260.7
DIY,쓸데없는선물,1400,7540,10.3,235.9,0.81,3.37,15,높음,8940.0,246.2
DIY,향수만들기,1370,9070,12.9,223.3,1.13,2.8,15,높음,10440.0,236.2
DIY,우드카빙,1970,7840,17.5,214.2,0.98,2.91,15,높음,9810.0,231.7
DIY,아이디어상품,3770,7000,34.7,193.7,1.05,3.08,15,높음,10770.0,228.4
DIY,컬러링북,4910,21100,10.8,214.6,0.25,1.09,15,높음,26010.0,225.4
DIY,만들기키트,2000,6580,53.1,165.8,3.0,2.72,15,높음,8580.0,218.9
DIY,원목,2950,8060,32.2,175.2,1.22,2.43,15,높음,11010.0,207.4
DIY,목공소,1780,7810,14.7,186.5,0.94,2.59,15,높음,9590.0,201.2
DIY,반지만들기,1450,9850,7.1,186.8,0.54,2.06,15,높음,11300.0,193.9
DIY,취미생활추천,2210,14000,10.0,181.4,0.49,1.39,15,높음,16210.0,191.4
철제간판,입간판,7840,20000,98.6,348.0,1.41,1.95,15,높음,27840.0,446.6
철제간판,주차금지표지판,3460,11100,46.8,323.3,1.52,3.18,15,높음,14560.0,370.1
철제간판,베란다수납장,1710,11400,17.7,329.2,1.19,3.31,15,높음,13110.0,346.9
철제간판,원목액자,1340,6020,30.7,268.8,2.43,4.86,15,높음,7360.0,299.5
철제간판,LED간판,1850,6750,28.7,224.8,1.79,3.68,15,높음,8600.0,253.5
철제간판,LED모듈,8350,17500,39.7,199.5,0.5,1.3,15,높음,25850.0,239.2
철제간판,사원증,4040,4550,83.8,114.3,2.36,2.82,15,높음,8590.0,198.1
철제간판,간판업체,1000,2980,29.9,157.6,3.43,5.66,15,높음,3980.0,187.5
철제간판,아크릴간판,2520,5160,57.6,114.8,2.63,2.42,15,높음,7680.0,172.4
철제간판,무지주선반,1860,5600,19.0,150.5,1.14,2.9,15,높음,7460.0,169.5
철제간판,간판제작,1530,2460,43.5,114.0,3.09,5.08,15,높음,3990.0,157.5
