,노출상태,노출상품명,광고그룹 이름,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,광고그룹 ID,상품 ID
52,off 소재,OPEN 포인트간판,d,,,,,,,on,250.0,nad-a001-02-000000141199722,grp-a001-02-000000021807501,5057254533.0
53,off 소재,영업중 오픈사인 안내판,c,,,,,,,on,160.0,nad-a001-02-000000141206853,grp-a001-02-000000021807519,5057254533.0
54,off 소재,OPEN 결혼 신혼 개업 창업 선물,b,,,,,,,on,250.0,nad-a001-02-000000141199726,grp-a001-02-000000021854519,5057254533.0
55,off 소재,OPEN 오픈 영업중 창문간판 사이드후광LED,a,,,,,,,on,230.0,nad-a001-02-000000141199730,grp-a001-02-000000009335164,5057254533.0
56,입찰가 변경 인상 330.0>360.0,LED영업중 오픈사인 조명간판 아크릴채널 캠핑포인트문패 개업선물,원본,6.1,1293.0,13.0,0.0,4818.0,0.0,on,330.0,nad-a001-02-000000141193813,grp-a001-02-000000021786478,5691917350.0
57,신규 소재,노출상품명,a,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,on,190,소재 ID,grp-a001-02-000000009335164,5691917350.0
58,신규 소재,노출상품명,b,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,on,190,소재 ID,grp-a001-02-000000021854519,5691917350.0
59,신규 소재,노출상품명,c,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,on,190,소재 ID,grp-a001-02-000000021807519,5691917350.0
60,신규 소재,노출상품명,d,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,on,190,소재 ID,grp-a001-02-000000021807501,5691917350.0
61,신규 소재,노출상품명,e,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,on,190,소재 ID,grp-a001-02-000000021807488,5691917350.0
62,신규 소재,노출상품명,f,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,on,190,소재 ID,grp-a001-02-000000021807497,5691917350.0
63,신규 소재,노출상품명,g,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,on,190,소재 ID,grp-a001-02-000000021807496,5691917350.0
64,신규 소재,노출상품명,h,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,on,190,소재 ID,grp-a001-02-000000021807523,5691917350.0
65,신규 소재,노출상품명,i,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,on,190,소재 ID,grp-a001-02-000000021807511,5691917350.0
66,빈 그룹,노출상품명,j,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021807484,상품 ID
67,빈 그룹,노출상품명,k,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021807485,상품 ID
68,빈 그룹,노출상품명,l,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021807486,상품 ID
69,빈 그룹,노출상품명,m,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021807481,상품 ID
70,빈 그룹,노출상품명,n,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021807552,상품 ID
71,빈 그룹,노출상품명,o,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021807546,상품 ID
72,빈 그룹,노출상품명,p,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021807554,상품 ID
73,빈 그룹,노출상품명,q,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021807550,상품 ID
74,빈 그룹,노출상품명,r,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021807549,상품 ID
75,빈 그룹,노출상품명,s,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021807551,상품 ID
76,빈 그룹,노출상품명,t,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021807555,상품 ID
77,빈 그룹,노출상품명,u,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000022036013,상품 ID
78,빈 그룹,노출상품명,v,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021785283,상품 ID
79,빈 그룹,노출상품명,w,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021785266,상품 ID
80,빈 그룹,노출상품명,x,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000022036032,상품 ID
81,빈 그룹,노출상품명,y,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021785285,상품 ID
82,빈 그룹,노출상품명,z,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000021736136,상품 ID
83,빈 그룹,노출상품명,za,평균노출순위,노출수,클릭수,전환수,광고비용,전환액,소재 상태,소재 입찰가,소재 ID,grp-a001-02-000000022036028,상품 ID
84,입찰가 변경 인상 360.0>390.0,화장실표시 아파트호수판,p,8.6,424.0,2.0,0.0,671.0,0.0,on,360.0,nad-a001-02-000000138288724,grp-a001-02-000000021807554,5626538470.0
85,입찰가 변경 인상 330.0>360.0,화장실표지판 아크릴현판 시판 안내판 푯말,j,14.3,88.0,2.0,1.0,693.0,15000.0,on,330.0,nad-a001-02-000000138288760,grp-a001-02-000000021807484,5626538470.0
86,입찰가 변경 인상 320.0>350.0,화장실표시 현관호수,n,8.0,193.0,1.0,0.0,330.0,0.0,on,320.0,nad-a001-02-000000138288726,grp-a001-02-000000021807552,5626538470.0
87,입찰가 변경 인상 360.0>390.0,화장실표시 아이방문패,k,8.6,144.0,1.0,0.0,396.0,0.0,on,360.0,nad-a001-02-000000138288757,grp-a001-02-000000021807485,5626538470.0
88,입찰가 변경 인상 270.0>300.0,화장실표시 아크릴간판 아파트동호수 현관문번호,za,9.9,233.0,0.0,0.0,0.0,0.0,on,270.0,nad-a001-02-000000140183825,grp-a001-02-000000022036028,5626538470.0
89,입찰가 변경 인상 320.0>350.0,화장실표시 캠핑간판,e,17.7,81.0,0.0,0.0,0.0,0.0,on,320.0,nad-a001-02-000000138288742,grp-a001-02-000000021807488,5626538470.0
90,양호 소재,화장실 표시 포인트 로고간판 카페 흡연 창고,c,2.5,50.0,0.0,0.0,0.0,0.0,on,180.0,nad-a001-02-000000138288736,grp-a001-02-000000021807519,5626538470.0
91,입찰가 변경 인상 300.0>330.0,아크릴레터링 화장실표찰 개업선물 사인 푯말,r,26.7,16.0,0.0,0.0,0.0,0.0,on,300.0,nad-a001-02-000000138288732,grp-a001-02-000000021807549,5626538470.0
92,입찰가 변경 인상 240.0>270.0,화장실표시 포인트간판 헬스 피트니스,d,53.0,2.0,0.0,0.0,0.0,0.0,on,240.0,nad-a001-02-000000138288740,grp-a001-02-000000021807501,5626538470.0
93,소재 점검 필요,화장실 픽토그램 화장실표찰 아크릴 스카시 3T,원본,,,,,,,on,160.0,nad-a001-02-000000138104753,grp-a001-02-000000021786478,5626538470.0
94,off 소재,아크릴스카시 화장실픽토그램 화장실표지판,z,,,,,,,on,160.0,nad-a001-02-000000137583320,grp-a001-02-000000021736136,5626538470.0
95,off 소재,스카시 화장실픽토그램 아크릴글자 입체글씨,y,,,,,,,on,160.0,nad-a001-02-000000138098229,grp-a001-02-000000021785285,5626538470.0
96,off 소재,화장실 표찰 아크릴 홈바간판,x,,,,,,,on,100.0,nad-a001-02-000000140183859,grp-a001-02-000000022036032,5626538470.0
97,off 소재,아크릴스카시 화장실픽토그램 표지판 아이방문패,w,,,,,,,on,160.0,nad-a001-02-000000138098205,grp-a001-02-000000021785266,5626538470.0
98,off 소재,화장실픽토그램 스카시 포인트간판,v,,,,,,,on,160.0,nad-a001-02-000000138098223,grp-a001-02-000000021785283,5626538470.0
99,off 소재,화장실표시 남녀화장실 아크릴 안내문 픽토그램,u,,,,,,,on,100.0,nad-a001-02-000000140183796,grp-a001-02-000000022036013,5626538470.0
100,off 소재,화장실 표찰 아크릴 아크릴로고,t,,,,,,,on,160.0,nad-a001-02-000000141206901,grp-a001-02-000000021807555,5626538470.0
101,off 소재,화장실표시 아크릴간판제작,s,,,,,,,on,130.0,nad-a001-02-000000138288728,grp-a001-02-000000021807551,5626538470.0
102,off 소재,화장실표시 아파트호수판,q,,,,,,,on,130.0,nad-a001-02-000000138288730,grp-a001-02-000000021807550,5626538470.0
103,off 소재,화장실 표찰 아크릴 캘리그라피,o,,,,,,,on,160.0,nad-a001-02-000000141206726,grp-a001-02-000000021807546,5626538470.0
104,off 소재,화장실 표찰 아크릴 식당간판,m,,,,,,,on,160.0,nad-a001-02-000000141206981,grp-a001-02-000000021807481,5626538470.0
105,off 소재,화장실 표찰 아크릴 술집오픈선물,l,,,,,,,on,160.0,nad-a001-02-000000141206835,grp-a001-02-000000021807486,5626538470.0
106,off 소재,화장실 표찰 아크릴 특이한간판,i,,,,,,,on,160.0,nad-a001-02-000000141207040,grp-a001-02-000000021807511,5626538470.0
107,off 소재,화장실표지판 아크릴현판 시판 안내판 푯말,h,,,,,,,on,200.0,nad-a001-02-000000138288734,grp-a001-02-000000021807523,5626538470.0
108,off 소재,화장실 표찰 아크릴 사이드간판,g,,,,,,,on,160.0,nad-a001-02-000000141206818,grp-a001-02-000000021807496,5626538470.0
109,off 소재,화장실 표찰 아크릴 디자인사인,f,,,,,,,on,160.0,nad-a001-02-000000141206914,grp-a001-02-000000021807497,5626538470.0
110,off 소재,화장실표시 결혼 신혼 개업 창업 선물,b,,,,,,,on,100.0,nad-a001-02-000000138741042,grp-a001-02-000000021854519,5626538470.0
111,off 소재,아크릴스카시 화장실픽토그램 벽면꾸미기 도어사인,a,,,,,,,on,160.0,nad-a001-02-000000137752690,grp-a001-02-000000009335164,5626538470.0
112,입찰가 변경 인상 370.0>400.0,맥주잔 홈포차 와인 나래바 화자카야 LED간판,m,6.0,193.0,7.0,0.0,2739.0,0.0,on,370.0,nad-a001-02-000000138288510,grp-a001-02-000000021807481,5229304479.0
113,입찰가 변경 인상 330.0>360.0,수제맥주잔 영업중간판,o,7.6,271.0,1.0,0.0,319.0,0.0,on,330.0,nad-a001-02-000000138288561,grp-a001-02-000000021807546,5229304479.0
114,입찰가 변경 인상 370.0>400.0,수제맥주잔 캠핑간판,e,5.4,555.0,0.0,0.0,0.0,0.0,on,370.0,nad-a001-02-000000138288677,grp-a001-02-000000021807488,5229304479.0
115,양호 소재,맥주 팻말 벽간판 푯말 디자인문패,원본,4.9,77.0,0.0,0.0,0.0,0.0,on,200.0,nad-a001-02-000000138104755,grp-a001-02-000000021786478,5229304479.0
116,입찰가 변경 인상 200.0>230.0,맥주 주점 로고사인,za,11.8,6.0,0.0,0.0,0.0,0.0,on,200.0,nad-a001-02-000000140183837,grp-a001-02-000000022036028,5229304479.0
117,입찰가 변경 인상 250.0>280.0,수제맥주잔 오픈네온사인,g,62.0,5.0,0.0,0.0,0.0,0.0,on,250.0,nad-a001-02-000000138288656,grp-a001-02-000000021807496,5229304479.0
118,입찰가 변경 인상 220.0>250.0,맥주잔 채널사인,f,44.8,4.0,0.0,0.0,0.0,0.0,on,220.0,nad-a001-02-000000138288635,grp-a001-02-000000021807497,5229304479.0
119,입찰가 변경 인상 250.0>280.0,수제맥주잔 LED아크릴간판,i,65.5,2.0,0.0,0.0,0.0,0.0,on,250.0,nad-a001-02-000000138288586,grp-a001-02-000000021807511,5229304479.0
120,소재 점검 필요,수제맥주점 영업중 오픈간판 개업선물,z,,,,,,,on,160.0,nad-a001-02-000000137752675,grp-a001-02-000000021736136,5229304479.0
121,소재 점검 필요,수제맥주점 영업중간판,y,,,,,,,on,160.0,nad-a001-02-000000138098234,grp-a001-02-000000021785285,5229304479.0
122,off 소재,수제맥주잔 아크릴 네온글씨 글자 LED간판,x,,,,,,,on,100.0,nad-a001-02-000000140183871,grp-a001-02-000000022036032,5229304479.0
123,off 소재,수제맥주점 영업중 나래바네온사인 캠핑문패,w,,,,,,,on,160.0,nad-a001-02-000000138098210,grp-a001-02-000000021785266,5229304479.0
124,off 소재,수제맥주점 포인트 채널 캠핑 LED아크릴간판,v,,,,,,,on,160.0,nad-a001-02-000000138098228,grp-a001-02-000000021785283,5229304479.0
125,off 소재,맥주 주점 대문인테리어,u,,,,,,,on,100.0,nad-a001-02-000000140183808,grp-a001-02-000000022036013,5229304479.0
126,off 소재,수제맥주잔 대문문패,t,,,,,,,on,250.0,nad-a001-02-000000138288532,grp-a001-02-000000021807555,5229304479.0
127,off 소재,맥주 주점 아크릴글자,s,,,,,,,on,160.0,nad-a001-02-000000141207007,grp-a001-02-000000021807551,5229304479.0
128,off 소재,맥주 주점 추가인테리어,r,,,,,,,on,160.0,nad-a001-02-000000141207030,grp-a001-02-000000021807549,5229304479.0
129,off 소재,맥주 주점 홈간판,q,,,,,,,on,160.0,nad-a001-02-000000141206967,grp-a001-02-000000021807550,5229304479.0
130,off 소재,맥주 주점 샵인테리어소품,p,,,,,,,on,160.0,nad-a001-02-000000141207065,grp-a001-02-000000021807554,5229304479.0
131,off 소재,맥주 주점 벽면간판,n,,,,,,,on,160.0,nad-a001-02-000000141206797,grp-a001-02-000000021807552,5229304479.0
132,off 소재,맥주 주점 술집오픈선물,l,,,,,,,on,160.0,nad-a001-02-000000141206842,grp-a001-02-000000021807486,5229304479.0
133,off 소재,맥주 주점 벽꾸미기,k,,,,,,,on,160.0,nad-a001-02-000000141206777,grp-a001-02-000000021807485,5229304479.0
134,off 소재,맥주주점 코로나영업재개 창문장식인테리어,j,,,,,,,on,250.0,nad-a001-02-000000138288703,grp-a001-02-000000021807484,5229304479.0
135,off 소재,맥주 주점 이니셜사인,h,,,,,,,on,160.0,nad-a001-02-000000141206944,grp-a001-02-000000021807523,5229304479.0
136,off 소재,맥주 주점 안내판,c,,,,,,,on,160.0,nad-a001-02-000000141206863,grp-a001-02-000000021807519,5229304479.0
137,off 소재,수제맥주잔 결혼 신혼 개업 창업 선물,b,,,,,,,on,100.0,nad-a001-02-000000138741057,grp-a001-02-000000021854519,5229304479.0
138,off 소재,수제맥주점 영업중 창문작은간판 사이드후광LED,a,,,,,,,on,160.0,nad-a001-02-000000137580743,grp-a001-02-000000009335164,5229304479.0
139,off 소재,-,d,,,,,,,off,240.0,nad-a001-02-000000138288607,grp-a001-02-000000021807501,5229304479.0
140,양호 소재,"( 일반형 ) DIY 철제간판 , 도색간판",a,3.0,574.0,16.0,0.0,6853.0,0.0,on,340.0,nad-a001-02-000000138286763,grp-a001-02-000000009335164,5526918158.0
141,입찰가 변경 인하 180.0>170.0,까치발간판 포인트 로고 보조간판,i,2.0,182.0,7.0,0.0,385.0,0.0,on,180.0,nad-a001-02-000000141207046,grp-a001-02-000000021807511,5526918158.0
142,양호 소재,입체글자 포인트 로고 보조간판,m,4.7,145.0,5.0,0.0,1353.0,0.0,on,330.0,nad-a001-02-000000141206984,grp-a001-02-000000021807481,5526918158.0
143,양호 소재,철제구로 글자간판 술집오픈선물,l,3.3,137.0,4.0,0.0,836.0,0.0,on,320.0,nad-a001-02-000000141206839,grp-a001-02-000000021807486,5526918158.0
144,입찰가 변경 인상 160.0>190.0,철제구로 글자간판 캘리그라피,o,5.0,10.0,0.0,0.0,0.0,0.0,on,160.0,nad-a001-02-000000141206728,grp-a001-02-000000021807546,5526918158.0
145,입찰가 변경 인하 160.0>150.0,철제구로 글자간판 로고사인,za,2.0,1.0,0.0,0.0,0.0,0.0,on,160.0,nad-a001-02-000000140183832,grp-a001-02-000000022036028,5526918158.0
146,입찰가 변경 인하 160.0>150.0,철제구로 글자간판 디자인사인,f,2.0,1.0,0.0,0.0,0.0,0.0,on,160.0,nad-a001-02-000000141206916,grp-a001-02-000000021807497,5526918158.0
147,소재 점검 필요,"( 일반형 ) DIY 철제간판 , 도색간판",원본,,,,,,,on,160.0,nad-a001-02-000000138272074,grp-a001-02-000000021786478,5526918158.0
148,소재 점검 필요,"( 일반형 ) DIY 철제간판 , 도색간판",z,,,,,,,on,160.0,nad-a001-02-000000138287044,grp-a001-02-000000021736136,5526918158.0
149,소재 점검 필요,철제구로 글자간판 심플간판,y,,,,,,,on,160.0,nad-a001-02-000000138287087,grp-a001-02-000000021785285,5526918158.0
150,off 소재,철제구로 글자간판 홈바간판,x,,,,,,,on,100.0,nad-a001-02-000000140183866,grp-a001-02-000000022036032,5526918158.0
151,off 소재,철제구로 글자간판 축하선물,w,,,,,,,on,160.0,nad-a001-02-000000138287066,grp-a001-02-000000021785266,5526918158.0
152,off 소재,철제구로 글자간판 현관문문패,v,,,,,,,on,160.0,nad-a001-02-000000138286288,grp-a001-02-000000021785283,5526918158.0
153,off 소재,철제구로 글자간판 대문인테리어,u,,,,,,,on,100.0,nad-a001-02-000000140183803,grp-a001-02-000000022036013,5526918158.0
154,off 소재,철제구로 글자간판 아크릴로고,t,,,,,,,on,150.0,nad-a001-02-000000141206902,grp-a001-02-000000021807555,5526918158.0
155,off 소재,철제구로 글자간판 추가인테리어,r,,,,,,,on,160.0,nad-a001-02-000000141207027,grp-a001-02-000000021807549,5526918158.0
156,off 소재,철제구로 글자간판 홈간판,q,,,,,,,on,150.0,nad-a001-02-000000141206964,grp-a001-02-000000021807550,5526918158.0
157,off 소재,까치발간판 입체글자 푯말 개업선물 제작 안내판,p,,,,,,,on,150.0,nad-a001-02-000000141207061,grp-a001-02-000000021807554,5526918158.0
158,off 소재,까치발푯말 입체글자 개업선물 포인트 제작,j,,,,,,,on,160.0,nad-a001-02-000000141207088,grp-a001-02-000000021807484,5526918158.0
159,off 소재,철제구로 글자간판 이니셜사인,h,,,,,,,on,150.0,nad-a001-02-000000141206941,grp-a001-02-000000021807523,5526918158.0
160,off 소재,까치발 입체글자 푯말 개업선물 제작 사이드판,g,,,,,,,on,150.0,nad-a001-02-000000141206821,grp-a001-02-000000021807496,5526918158.0
161,off 소재,철제구로 글자간판 제작,d,,,,,,,on,200.0,nad-a001-02-000000141206877,grp-a001-02-000000021807501,5526918158.0
162,off 소재,구로간판 결혼 신혼 개업 창업 선물,b,,,,,,,on,100.0,nad-a001-02-000000138741049,grp-a001-02-000000021854519,5526918158.0
163,off 소재,-,s,,,,,,,off,160.0,nad-a001-02-000000141207004,grp-a001-02-000000021807551,5526918158.0
164,off 소재,-,n,,,,,,,off,200.0,nad-a001-02-000000141206792,grp-a001-02-000000021807552,5526918158.0
